backdrop_path,poster_path,genre_ids,keyword_ids,id,title,overview,popularity,release_date,vote_average,vote_count,genres,keywords,original_language,soup
/mvmOcBT0WhyRmSpkhhBgdtp7GSL.jpg,/1ibIjP6puA4y2SfCn9icSehHrBu.jpg,"[10765, 35, 18]","[818, 530, 290, 8685, 10150, 12654, 15001, 158718, 177894, 209570, 230861, 266959]",71915,Good Omens,"Aziraphale, an angel, and Crowley, a demon, join forces to find the Antichrist and stop Armageddon.",259.953,2019-05-31,8.1,1731,"['sci-fi & fantasy', 'comedy', 'drama']","['based on novel or book', 'prophecy', 'angel', 'anti-christ', 'end of the world', 'armageddon', 'demon', 'lgbt', 'witch hunt', 'end of times', 'four horsemen of the apocalypse', 'lgbt interest']",en,"Good Omens sci-fi & fantasy comedy drama Aziraphale, an angel, and Crowley, a demon, join forces to find the Antichrist and stop Armageddon. based on novel or book prophecy angel anti-christ end of the world armageddon demon lgbt witch hunt end of times four horsemen of the apocalypse lgbt interest"
/jltxLKZCTmXDpVBBJn3o3txFcfX.jpg,/jiSv0xNx6MGhAFfv05Ov7DgDELJ.jpg,"[10765, 18, 10751]","[6054, 290, 6150, 3929, 10706, 11001, 170365, 229608]",2243,Touched by an Angel,"Monica, an angel, is tasked with bringing guidance and messages from God to various people who are at a crossroads in their lives.",222.114,1994-09-21,7.4,158,"['sci-fi & fantasy', 'drama', 'family']","['friendship', 'angel', 'faith', 'hope', 'spirituality', 'religion', 'good deed', 'encouragement']",en,"Touched by an Angel sci-fi & fantasy drama family Monica, an angel, is tasked with bringing guidance and messages from God to various people who are at a crossroads in their lives. friendship angel faith hope spirituality religion good deed encouragement"
/qaBwj91q7bx21y4xFAAYHR7wrDL.jpg,/qAuKjGNbcwdhbpxSciak8BFjQ5F.jpg,"[18, 80]","[531, 4562, 1499, 6593, 3688, 11925, 158718, 195624, 207981]",87017,P-Valley,"Down deep in the Mississippi Delta, Trap music meets film noir in this kaleidoscopic story of a little-strip-club-that-could and the big characters who come through its doors—the hopeful, the lost, the broken, the ballers, the beautiful, and the damned.",219.437,2020-07-12,7.8,204,"['drama', 'crime']","['southern usa', 'rapper', 'pastor', 'stripper', 'strip club', 'domestic violence', 'lgbt', 'black lgbt', 'south']",en,"P-Valley drama crime Down deep in the Mississippi Delta, Trap music meets film noir in this kaleidoscopic story of a little-strip-club-that-could and the big characters who come through its doors—the hopeful, the lost, the broken, the ballers, the beautiful, and the damned. southern usa rapper pastor stripper strip club domestic violence lgbt black lgbt south"
/qvbFdPvXMliwwrWlfUStcHc96JQ.jpg,/2pnZWHg9E34LLwLBLYUPLdZwer8.jpg,"[18, 10751, 10765]","[186, 3036, 230097, 273060, 282071, 309558]",85077,The Chosen,The life of Christ through the eyes of those who encountered him called The Chosen.,205.728,2019-04-21,8.6,131,"['drama', 'family', 'sci-fi & fantasy']","['christianity', 'bible', 'jesus christ', 'christian faith', 'biblical', 'os escolhidos']",en,The Chosen drama family sci-fi & fantasy The life of Christ through the eyes of those who encountered him called The Chosen. christianity bible jesus christ christian faith biblical os escolhidos
/mVMkUs47GUjoh2hYLNu2r30zJqM.jpg,/s6mkZKanKim3VGUIxR2gGGf9jn0.jpg,"[10751, 18]","[186, 4498, 10235, 11001, 12279, 14765]",4550,7th Heaven,"Reverend Eric Camden and his wife Annie have always had their hands full caring for seven children, not to mention the friends, sweethearts and spouses that continually come and go in the Camden household.",152.002,1996-08-26,6.5,176,"['family', 'drama']","['christianity', 'big family', 'family relationships', 'religion', 'family drama', 'church']",en,"7th Heaven family drama Reverend Eric Camden and his wife Annie have always had their hands full caring for seven children, not to mention the friends, sweethearts and spouses that continually come and go in the Camden household. christianity big family family relationships religion family drama church"
/rVHIT8zK129LohS5OGhwBYWfrdO.jpg,/kxasURRX1FHh1el6XYpSM2LGSVR.jpg,"[10765, 18]","[6150, 11436, 15167, 34004, 160342, 184559, 240835]",9899,Saving Grace,"Grace Hanadarko is a tormented, fast-living Oklahoma City police detective who, despite having an excellent career in solving crimes, takes self-destruction to new heights. After seeing tremendous tragedy, both professionally and personally, Grace reaches a turning point one night and meets a rough-hewn angel with a similar past who wants to help lead her back to the right path.",132.902,2007-07-23,8.2,40,"['sci-fi & fantasy', 'drama']","['faith', 'redemption', 'police detective', 'second chance', 'female detective', 'guardian angel', 'oklahoma city']",en,"Saving Grace sci-fi & fantasy drama Grace Hanadarko is a tormented, fast-living Oklahoma City police detective who, despite having an excellent career in solving crimes, takes self-destruction to new heights. After seeing tremendous tragedy, both professionally and personally, Grace reaches a turning point one night and meets a rough-hewn angel with a similar past who wants to help lead her back to the right path. faith redemption police detective second chance female detective guardian angel oklahoma city"
/6u4cUJVUcpQmW8FyKcJN6svCxSa.jpg,/ey1WQajA25E5sFGHSApcqSWUSEc.jpg,"[10765, 9648, 18]","[3133, 1556, 6152, 9717, 9649, 15001, 18072, 251513]",64230,Preacher,"A preacher sets out on a mission to make the almighty himself confess his sin of abandoning the world. With his best friend Cassidy, an alcoholic Irish vampire, his love Tulip, a red blooded gun towing Texan, and the power of genesis, an unholy child born from an angel and a devil, Jesse gives up everything to set the world straight with its creator.",127.453,2016-05-22,7.5,1018,"['sci-fi & fantasy', 'mystery', 'drama']","['vampire', 'texas', 'supernatural', 'based on comic', 'god', 'demon', 'preacher', 'supernatural power']",en,"Preacher sci-fi & fantasy mystery drama A preacher sets out on a mission to make the almighty himself confess his sin of abandoning the world. With his best friend Cassidy, an alcoholic Irish vampire, his love Tulip, a red blooded gun towing Texan, and the power of genesis, an unholy child born from an angel and a devil, Jesse gives up everything to set the world straight with its creator. vampire texas supernatural based on comic god demon preacher supernatural power"
/6HerLaK4Mjjtssma4fF3qQUixX5.jpg,/wdSi1q7WNLNvxvmjrI4F93zzqQO.jpg,"[10759, 16, 9648, 10765]","[212, 6149, 3133, 186, 1370, 2095, 6152, 3271, 10292, 9259, 11001, 12371, 12377, 13141, 163558]",16830,Hellsing,"Vampires exist. It is the duty of Hellsing, an organization sponsored by the British government, to hide that frightening fact and protect the blissfully unaware populace. Along with its own personal army, Hellsing also has a few secret weapons. Alucard, an incredibly powerful vampire, has been controlled by Hellsing for years. Although he dislikes being a servant to the Hellsing family, he certainly enjoys his job as Hellsing’s vampire exterminator. Seras is a fledgling vampire and a former police woman. Although reluctant to embrace her new self, she is still a valuable member of the organization. Integra Hellsing, the current leader, is usually fully capable of fulfilling her duty, but lately, vampire activity has been on the rise. Unfortunately, the cause is more alarming than anything she could have imagined...",120.94,2001-10-10,8.0,442,"['action & adventure', 'animation', 'mystery', 'sci-fi & fantasy']","['london, england', 'police', 'vampire', 'christianity', 'shapeshifting', 'anti hero', 'supernatural', 'secret organization', 'gore', 'vampire hunter (slayer)', 'religion', 'gunfight', 'zombie', 'based on manga', 'extrasensory perception']",ja,"Hellsing action & adventure animation mystery sci-fi & fantasy Vampires exist. It is the duty of Hellsing, an organization sponsored by the British government, to hide that frightening fact and protect the blissfully unaware populace. Along with its own personal army, Hellsing also has a few secret weapons. Alucard, an incredibly powerful vampire, has been controlled by Hellsing for years. Although he dislikes being a servant to the Hellsing family, he certainly enjoys his job as Hellsing’s vampire exterminator. Seras is a fledgling vampire and a former police woman. Although reluctant to embrace her new self, she is still a valuable member of the organization. Integra Hellsing, the current leader, is usually fully capable of fulfilling her duty, but lately, vampire activity has been on the rise. Unfortunately, the cause is more alarming than anything she could have imagined... london, england police vampire christianity shapeshifting anti hero supernatural secret organization gore vampire hunter (slayer) religion gunfight zombie based on manga extrasensory perception"
/d1wj4WQ87tj7dLgXCKfPOe8AOz4.jpg,/dlGmVpZ2rpGRDZsSa64nzyu90xk.jpg,"[18, 10765]","[3648, 3570, 3571, 3033, 3034, 3036, 6987, 6506, 9031, 11001, 18126, 181212, 222185, 230097, 243261]",19649,Jesus of Nazareth,"Dramatizes the Birth, Life, Ministry, Crucifixion, and Resurrection of Jesus Christ, largely according to the Holy Bible's New Testament Gospels.",117.286,1977-03-27,7.8,429,"['drama', 'sci-fi & fantasy']","['archangel gabriel', 'three kings', 'crucifixion', 'apostle', 'last supper', 'bible', 'idealism', 'resurrection', 'idealist', 'religion', 'sermon on the mount', 'son of god', '1st century', 'jesus christ', 'new testament']",en,"Jesus of Nazareth drama sci-fi & fantasy Dramatizes the Birth, Life, Ministry, Crucifixion, and Resurrection of Jesus Christ, largely according to the Holy Bible's New Testament Gospels. archangel gabriel three kings crucifixion apostle last supper bible idealism resurrection idealist religion sermon on the mount son of god 1st century jesus christ new testament"
/wu444tM9YBllq9UcBv5TeidO3j3.jpg,/37p95Lpe7mfVX86ZcVr7TisAHPn.jpg,"[10765, 18, 9648]","[10150, 179101, 188351, 215659, 263706, 269233]",91557,Ragnarok,A small Norwegian town experiencing warm winters and violent downpours seems to be headed for another Ragnarök -- unless someone intervenes in time.,110.334,2020-01-31,7.9,926,"['sci-fi & fantasy', 'drama', 'mystery']","['end of the world', 'norse mythology', 'catastrophe', 'salvation', 'norwegian folklore', 'good versus evil']",no,Ragnarok sci-fi & fantasy drama mystery A small Norwegian town experiencing warm winters and violent downpours seems to be headed for another Ragnarök -- unless someone intervenes in time. end of the world norse mythology catastrophe salvation norwegian folklore good versus evil
